node_id,date,label,kind,lineage,run_count,representative_run,score,interpretation
dino,2026-06-03T00:03:17.299483+00:00,DINOv2 + KDE / 0.6277,origin,DINO / KDE,1,dinov2-s-kde,0.6276890681582389,
lr,2026-06-05T21:31:52.523664+00:00,LR + tissue curation / 0.6357,branch,DINO / KDE,1,lr-and-curation,0.6356535389745309,
jepa,2026-06-06T05:54:59.950431+00:00,I-JEPA / new objective,origin,I-JEPA,63,jepa-dino,0.6470817299693318,
dino3,2026-06-07T01:48:17.655623+00:00,DINOv3 branch / ×10 · best 0.6561,origin,DINOv3,10,dinov3-vits-jepa,0.6404587510669775,
vit5,2026-06-07T01:57:28.327115+00:00,ViT-5 branch / ×2 · best 0.6149,origin,ViT-5,2,vit5-vitb-kde,0.6148828244943398,
jepa_valid,2026-06-09T18:03:17.278578+00:00,Validated I-JEPA / 0.6444,merge,DINO + JEPA,1,I-JEPA contig patch,0.644406926685217,
fino,2026-06-11T18:00:00+00:00,FINO / molecular signal,origin,FINO,55,,,
jf,2026-06-13T01:12:54.299255+00:00,JEPA + FINO / ×11 · 0.6485,merge,JEPA + FINO,11,jepa-fino-s2026,0.6484690800587501,
readout,2026-06-14T05:16:08.839265+00:00,Dense multi-depth / readout,origin,Dense readout,1,block-strided-214,0.6640282909987755,
bsc,2026-06-17T22:09:00.203295+00:00,Merged trunk / 0.6592,merge,Mature merged trunk,1,block-strided-cls,0.6592224020661669,
pre,2026-06-19T00:00:00+00:00,Pre-cycle search / ×9,branch,Mature merged trunk,9,,,
search1,2026-06-20T07:04:53+00:00,Automated search / ×39,branch,Mature merged trunk,39,,,
curation,2026-06-22T11:36:40.977978+00:00,Data-curation branch / ×13 · best 0.6653,origin,Data curation,13,curation-unbalanced,0.6653186070961798,
kde,2026-06-23T04:20:32.114247+00:00,KDE follow-up / 0.6519 validated,merge,Mature merged trunk,1,bsc-s932-k10,0.6518517351830015,
search2,2026-06-26T20:01:12+00:00,Automated search / ×15,branch,Mature merged trunk,15,,,
capi,2026-06-29T09:27:43.550254+00:00,CAPI + iBOT / new objective,origin,CAPI,1,capi-ibot-clean,0.6526824199166961,
search3,2026-07-01T07:59:39+00:00,Automated search / ×74,branch,Mature merged trunk,74,,,
capi_trials,2026-07-15T02:51:00+00:00,CAPI family / ×18 · best 0.6549,branch,CAPI,18,,,
molcap,2026-07-11T12:00:00+00:00,MolCap / text signal,origin,MolCap,3,,,
molcap_merge,2026-07-12T03:16:53.532008+00:00,MolCap on trunk / ×3 · 0.6652,merge,Mature merged trunk,3,molcap-text-s7777,0.6652239193862792,
search4,2026-07-14T17:47:43+00:00,Automated search / ×181,branch,Mature merged trunk,181,,,
sam,2026-07-16T07:31:39.373395+00:00,SAM branch / ×3 · best 0.6544,origin,SAM,3,sam-jepa-mol,0.6519512207023539,
sam_tuned,2026-07-17T05:30:04.390028+00:00,SAM tuned,branch,SAM,1,sam-hp-fix,0.6544306959563568,
lctx,2026-07-20T16:30:34.783509+00:00,Local context + KDE / 0.6684,merge,Mature merged trunk,1,lctx14-kde05-r3,0.6684073345983054,
search5,2026-07-21T13:48:18+00:00,Automated search / ×243,branch,Mature merged trunk,243,,,
lctx_valid,2026-07-23T19:05:20.063244+00:00,Local-context validation / 0.6580,branch,Mature merged trunk,1,lctx14-kde05-s7375,0.6579872998245659,
search6,2026-08-09T06:46:16+00:00,Automated search / ×114,branch,Mature merged trunk,114,,,
search7,2026-08-13T00:14:38+00:00,Automated search / ×56,branch,Mature merged trunk,56,,,
simclr,2026-08-16T12:00:00+00:00,SimCLR / new objective,origin,SimCLR,3,,,
simclr_merge,2026-08-17T01:37:38.194469+00:00,DINOv3 + SimCLR / ×2 · best 0.6513,merge,SimCLR + post-train,2,simclr-t0810-repro,0.6512871529334302,
robust,2026-08-18T23:51:33.211210+00:00,Robust norm / new post-train,origin,Robust norm,3,robust-norm,0.6755854661446378,
leader,2026-08-20T16:19:18.275532+00:00,Current leader / 0.6676,merge,Robust leader,1,robust-norm-s9876,0.6675618250254949,
simclr_post,2026-08-21T22:30:12.142582+00:00,SimCLR + robust post-train / 0.6510,merge,SimCLR + post-train,1,simclr-posttrain,0.6509619775723833,
