run_id,submitted_at,title,score,validation,contributor,themes,explicit_parent_ids,comparison_base_id,api_url
run_sub_0d8aeb2511,2026-06-03T00:12:16.329094Z,dinov2-s-kde,0.6276890681582389,validated,PaulScotti,Tuning / schedules,,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_0d8aeb2511
run_sub_8b10c87dfb,2026-06-04T18:11:07.973324Z,"A100, bs=64",0.6236298140241586,unvalidated,PaulScotti,Tuning / schedules,,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_8b10c87dfb
run_sub_0f32802c54,2026-06-05T13:24:49.329257Z,tissue-curate,0.634725822613288,unvalidated,nevasini1,Tuning / schedules; Data / augmentation,,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_0f32802c54
run_sub_53a6eca303,2026-06-05T13:37:47.334137Z,curric-frac75,0.6330825056076957,unvalidated,nevasini1,Tuning / schedules; Data / augmentation,,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_53a6eca303
run_sub_8fc10b5e02,2026-06-05T13:37:56.679634Z,warmup03-b2,0.6319690402024969,unvalidated,nevasini1,Tuning / schedules; Data / augmentation,,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_8fc10b5e02
run_sub_6c6c051f71,2026-06-05T21:31:52.997407Z,lr-and-curation,0.6356535389745309,validated,nevasini1,Tuning / schedules; Data / augmentation,run_sub_0f32802c54,run_sub_0d8aeb2511,https://api.labless.dev/api/runs/run_sub_6c6c051f71
run_sub_ce783976ea,2026-06-06T00:45:30.992719Z,gentleaug-l112,0.6375564759066364,unvalidated,NimaAsh,Tuning / schedules; Data / augmentation,,run_sub_6c6c051f71,https://api.labless.dev/api/runs/run_sub_ce783976ea
run_sub_e462a0a3e7,2026-06-06T05:24:37.984307Z,magjit,0.6313682034107488,unvalidated,nevasini1,Tuning / schedules; Data / augmentation,,run_sub_6c6c051f71,https://api.labless.dev/api/runs/run_sub_e462a0a3e7
run_sub_99b3ad6898,2026-06-06T05:55:00.483295Z,jepa-dino,0.6470817299693318,unvalidated,NimaAsh,Objectives / losses,,run_sub_6c6c051f71,https://api.labless.dev/api/runs/run_sub_99b3ad6898
run_sub_0cdf7364c0,2026-06-06T14:15:04.061148Z,jepa-mask25,0.6471365805506915,unvalidated,NimaAsh,Objectives / losses,,run_sub_6c6c051f71,https://api.labless.dev/api/runs/run_sub_0cdf7364c0
