child_run_id,child_title,ended_at,score,validation,campaign,primary_parent_id,primary_parent_title,relation_method,confidence,evidence,score_delta,core_source_similarity,secondary_parent_ids,secondary_parent_titles,web_url
run_sub_0d8aeb2511,dinov2-s-kde,2026-06-03T00:03:17.299483Z,0.6276890681582389,validated,Early manual,,,root,n/a,earliest public run,,,,,https://labless.dev/runs/run_sub_0d8aeb2511
run_sub_8b10c87dfb,"A100, bs=64",2026-06-04T18:11:06.835179Z,0.6236298140241586,unvalidated,Early manual,run_sub_0d8aeb2511,dinov2-s-kde,source_branch,source-only,repo.main_diff.base_run_id,-0.004059254134080259,0.75,,,https://labless.dev/runs/run_sub_8b10c87dfb
run_sub_0f32802c54,tissue-curate,2026-06-05T13:20:37.929745Z,0.634725822613288,unvalidated,Early manual,run_sub_0d8aeb2511,dinov2-s-kde,source_branch,source-only,repo.main_diff.base_run_id,0.007036754455049143,0.5,,,https://labless.dev/runs/run_sub_0f32802c54
run_sub_53a6eca303,curric-frac75,2026-06-05T13:37:46.954045Z,0.6330825056076957,unvalidated,Early manual,run_sub_0d8aeb2511,dinov2-s-kde,source_branch,source-only,repo.main_diff.base_run_id,0.0053934374494568615,0.5,,,https://labless.dev/runs/run_sub_53a6eca303
run_sub_8fc10b5e02,warmup03-b2,2026-06-05T13:37:56.187111Z,0.6319690402024969,unvalidated,Early manual,run_sub_0d8aeb2511,dinov2-s-kde,source_branch,source-only,repo.main_diff.base_run_id,0.004279972044258007,0.5,,,https://labless.dev/runs/run_sub_8fc10b5e02
run_sub_6c6c051f71,lr-and-curation,2026-06-05T21:31:52.523664Z,0.6356535389745309,validated,Early manual,run_sub_0f32802c54,tissue-curate,explicit_run_id,high,notes cite run_sub_0f32802c54,0.0009277163612428918,0.5,,,https://labless.dev/runs/run_sub_6c6c051f71
run_sub_ce783976ea,gentleaug-l112,2026-06-06T00:17:55.105977Z,0.6375564759066364,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.0019029369321055256,0.5,,,https://labless.dev/runs/run_sub_ce783976ea
run_sub_e462a0a3e7,magjit,2026-06-06T05:24:37.587200Z,0.6313682034107488,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,-0.004285335563782078,0.5,,,https://labless.dev/runs/run_sub_e462a0a3e7
run_sub_99b3ad6898,jepa-dino,2026-06-06T05:54:59.950431Z,0.6470817299693318,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.011428190994800858,0.0,,,https://labless.dev/runs/run_sub_99b3ad6898
run_sub_0cdf7364c0,jepa-mask25,2026-06-06T14:15:03.207424Z,0.6471365805506915,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.011483041576160535,0.0,,,https://labless.dev/runs/run_sub_0cdf7364c0
run_sub_1ef0eea009,jepa-narrow,2026-06-06T14:17:55.634763Z,0.6470253176924191,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.011371778717888192,0.0,,,https://labless.dev/runs/run_sub_1ef0eea009
run_sub_bb20cbae4a,jepa-mask10,2026-06-06T14:08:57.615297Z,0.6500937592639896,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.014440220289458683,0.0,,,https://labless.dev/runs/run_sub_bb20cbae4a
run_sub_4035c72174,jepa-dual,2026-06-06T14:22:31.447907Z,0.6392014805902057,unvalidated,Early manual,run_sub_6c6c051f71,lr-and-curation,source_branch,source-only,repo.main_diff.base_run_id,0.0035479416156747323,0.0,,,https://labless.dev/runs/run_sub_4035c72174
