run_id,title,group_id,family,group_size,best_run_id
run_sub_0d8aeb2511,dinov2-s-kde,group_0000,run:run_sub_0d8aeb2511,1,run_sub_0d8aeb2511
run_sub_8b10c87dfb,"A100, bs=64",group_0001,a100-bs-64,1,run_sub_8b10c87dfb
run_sub_0f32802c54,tissue-curate,group_0002,sampling/curation,1,run_sub_0f32802c54
run_sub_53a6eca303,curric-frac75,group_0003,curric-frac75,1,run_sub_53a6eca303
run_sub_8fc10b5e02,warmup03-b2,group_0004,warmup/schedule,1,run_sub_8fc10b5e02
run_sub_6c6c051f71,lr-and-curation,group_0005,run:run_sub_6c6c051f71,1,run_sub_6c6c051f71
run_sub_ce783976ea,gentleaug-l112,group_0006,gentleaug-l112,1,run_sub_ce783976ea
run_sub_e462a0a3e7,magjit,group_0007,magjit,1,run_sub_e462a0a3e7
run_sub_99b3ad6898,jepa-dino,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_0cdf7364c0,jepa-mask25,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_1ef0eea009,jepa-narrow,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_bb20cbae4a,jepa-mask10,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_4035c72174,jepa-dual,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_ffdb1b12ac,jepa-mask5,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_e0b11ed636,hsv-tissue,group_0009,sampling/curation + stain/color aug,1,run_sub_e0b11ed636
run_sub_802e83b402,dinov3-vits-jepa,group_0010,masking/JEPA/iBOT + architecture,2,run_sub_802e83b402
run_sub_df0b646cd4,vit5-vitb-kde,group_0011,KDE/uniformity + architecture,2,run_sub_df0b646cd4
run_sub_ad5c1705b1,vit5-vits-kde,group_0011,KDE/uniformity + architecture,2,run_sub_df0b646cd4
run_sub_02076759a7,tissue03,group_0012,sampling/curation,4,run_sub_3f2d617c97
run_sub_8400095956,ijepa-for-all,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_816fc5d0ca,I-JEPA contig patch,group_0013,run:run_sub_816fc5d0ca,1,run_sub_816fc5d0ca
run_sub_25b5fd6d3b,dino-jepa,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_7333994365,main-default,group_0014,main-default,1,run_sub_7333994365
run_sub_f653951c3a,mergeMainLeader,group_0015,teacher/EMA/temp,3,run_sub_1e2d9d9f77
run_sub_fc5c458152,jepa-gram-anchor,group_0016,replication/control + masking/JEPA/iBOT + anti-collapse,1,run_sub_fc5c458152
run_sub_adeab711e6,jepa-tissue03,group_0017,masking/JEPA/iBOT + sampling/curation,6,run_sub_adeab711e6
run_sub_959982de57,dino-jepa-pred6,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_2e56e7ded8,jepa-mask075,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_e8797adfe5,dino_jepa_w1,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_2be55385f1,dino_jepa_w2,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_ffac0d4472,dino_jepa_w4,group_0008,masking/JEPA/iBOT,26,run_sub_edc32aef4c
run_sub_df7330d020,diversity,group_0018,diversity,1,run_sub_df7330d020
run_sub_373f29d67e,jedi,group_0019,jedi,1,run_sub_373f29d67e
run_sub_ececf5d4a3,jedi_f40,group_0020,jedi-f40,1,run_sub_ececf5d4a3
run_sub_d402281eb2,jedi_outpaint,group_0021,jedi-outpaint,1,run_sub_d402281eb2
run_sub_56fb9689a0,jedi_w05,group_0022,jedi-w05,1,run_sub_56fb9689a0
