record_type,source_node,target_node,source_date,target_date,source_campaign,target_campaign,source_raw_campaigns,target_raw_campaigns,kind,method,method_class,internal,run_count,group_count,edge_count,internal_edge_count
node,0|Early manual,,2026-06-03,,Early manual,,Early manual,,,,,,6,6,,5
node,11|Automated search,,2026-07-06,,Automated search,,Cycle 6,,,,,,14,2,,0
node,12|Automated search,,2026-07-09,,Automated search,,Cycle 6,,,,,,44,20,,0
node,12|Other manual,,2026-07-09,,Other manual,,Other manual,,,,,,3,3,,0
node,13|Automated search,,2026-07-12,,Automated search,,Cycle 7,,,,,,7,5,,0
node,13|Other manual,,2026-07-12,,Other manual,,Other manual,,,,,,2,2,,0
node,14|Automated search,,2026-07-15,,Automated search,,Cycle 6; Cycle 7,,,,,,167,50,,1
node,14|Other manual,,2026-07-15,,Other manual,,Other manual,,,,,,2,2,,0
node,15|Automated search,,2026-07-18,,Automated search,,Cycle 7,,,,,,8,8,,0
node,15|Other manual,,2026-07-18,,Other manual,,Other manual,,,,,,1,1,,0
node,16|Automated search,,2026-07-21,,Automated search,,Cycle 8,,,,,,230,51,,0
node,16|Other manual,,2026-07-21,,Other manual,,Other manual,,,,,,4,4,,0
node,17|Automated search,,2026-07-24,,Automated search,,Cycle 8,,,,,,34,18,,0
node,18|Automated search,,2026-07-27,,Automated search,,Cycle 8,,,,,,16,11,,0
node,18|Other manual,,2026-07-27,,Other manual,,Other manual,,,,,,2,2,,0
node,1|Early manual,,2026-06-06,,Early manual,,Early manual,,,,,,37,7,,0
node,20|Other manual,,2026-08-02,,Other manual,,Other manual,,,,,,2,2,,0
node,21|Other manual,,2026-08-05,,Other manual,,Other manual,,,,,,2,2,,0
node,22|Automated search,,2026-08-08,,Automated search,,Cycle 10; Cycle 6; Cycle 8; Cycle 9,,,,,,49,26,,42
node,23|Automated search,,2026-08-11,,Automated search,,Cycle 1; Cycle 10; Cycle 11; Cycle 2; Cycle 3; Cycle 4; Cycle 5; Cycle 6; Cycle 8,,,,,,81,58,,50
node,24|Other manual,,2026-08-14,,Other manual,,Other manual,,,,,,1,1,,0
node,25|Late manual,,2026-08-17,,Late manual,,Late manual,,,,,,6,4,,2
node,26|Late manual,,2026-08-20,,Late manual,,Late manual,,,,,,2,2,,1
node,28|Late manual,,2026-08-26,,Late manual,,Late manual,,,,,,7,5,,0
node,29|Late manual,,2026-08-29,,Late manual,,Late manual,,,,,,2,2,,0
node,2|Early manual,,2026-06-09,,Early manual,,Early manual,,,,,,12,5,,0
node,30|Automated search,,2026-09-01,,Automated search,,Cycle 8,,,,,,1,1,,0
node,3|Early manual,,2026-06-12,,Early manual,,Early manual,,,,,,206,151,,1
node,3|Numbered search,,2026-06-12,,Numbered search,,Numbered search,,,,,,70,70,,28
node,4|Early manual,,2026-06-15,,Early manual,,Early manual,,,,,,37,35,,0
node,5|Automated search,,2026-06-18,,Automated search,,Cycle 1,,,,,,19,15,,0
node,5|Pre-cycle search,,2026-06-18,,Pre-cycle search,,Pre-cycle search,,,,,,9,5,,0
node,6|Automated search,,2026-06-21,,Automated search,,Cycle 1; Cycle 3,,,,,,20,19,,0
node,6|Other manual,,2026-06-21,,Other manual,,Other manual,,,,,,61,37,,0
node,7|Automated search,,2026-06-24,,Automated search,,Cycle 5,,,,,,1,1,,0
node,7|Numbered search,,2026-06-24,,Numbered search,,Numbered search,,,,,,2,2,,0
node,7|Other manual,,2026-06-24,,Other manual,,Other manual,,,,,,46,37,,0
node,8|Automated search,,2026-06-27,,Automated search,,Cycle 5,,,,,,13,9,,0
node,8|Other manual,,2026-06-27,,Other manual,,Other manual,,,,,,7,3,,0
node,9|Automated search,,2026-06-30,,Automated search,,Cycle 5; Cycle 6,,,,,,19,11,,0
link,0|Early manual,0|Early manual,2026-06-03,2026-06-03,Early manual,Early manual,Early manual,Early manual,primary,explicit_run_id,Named relation,True,,,1,
link,0|Early manual,0|Early manual,2026-06-03,2026-06-03,Early manual,Early manual,Early manual,Early manual,primary,source_branch,Git/API source fork,True,,,4,
link,0|Early manual,11|Automated search,2026-06-03,2026-07-06,Early manual,Automated search,Early manual,Cycle 6,primary,source_branch,Git/API source fork,False,,,14,
link,0|Early manual,12|Automated search,2026-06-03,2026-07-09,Early manual,Automated search,Early manual,Cycle 6,primary,source_branch,Git/API source fork,False,,,44,
link,0|Early manual,12|Other manual,2026-06-03,2026-07-09,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,3,
link,0|Early manual,13|Automated search,2026-06-03,2026-07-12,Early manual,Automated search,Early manual,Cycle 7,primary,source_branch,Git/API source fork,False,,,6,
link,0|Early manual,13|Other manual,2026-06-03,2026-07-12,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,2,
link,0|Early manual,14|Automated search,2026-06-03,2026-07-15,Early manual,Automated search,Early manual,Cycle 6; Cycle 7,primary,source_branch,Git/API source fork,False,,,12,
link,0|Early manual,14|Other manual,2026-06-03,2026-07-15,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,2,
link,0|Early manual,16|Other manual,2026-06-03,2026-07-21,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,3,
